VaccinationDate,age_group,first_dose,second_dose,,
21/01/2021,90+,226,4276,,
21/01/2021,60-69,4045,41619,,
21/01/2021,0-19,1812,1330,,
21/01/2021,20-29,9668,9552,,
21/01/2021,80-89,1005,16113,,
22/01/2021,50-59,5899,12563,,
22/01/2021,30-39,7748,5305,,
22/01/2021,40-49,15360,8467,,
22/01/2021,60-69,2183,18552,,
22/01/2021,70-79,958,14123,,
22/01/2021,0-19,1091,652,,
22/01/2021,20-29,3749,2953,,
22/01/2021,80-89,507,6519,,
22/01/2021,90+,120,1608,,
23/01/2021,50-59,6340,11123,,
23/01/2021,70-79,829,9720,,
23/01/2021,40-49,14398,7226,,
23/01/2021,60-69,1662,12488,,
23/01/2021,20-29,3446,2092,,
23/01/2021,80-89,400,5047,,
23/01/2021,0-19,6479,436,,
23/01/2021,30-39,6143,3624,,
23/01/2021,90+,109,1591,,
24/01/2021,60-69,3781,33391,,
24/01/2021,0-19,10725,1413,,
24/01/2021,50-59,8958,26348,,
24/01/2021,20-29,12018,8559,,
24/01/2021,40-49,19786,17528,,
24/01/2021,80-89,1011,12824,,
24/01/2021,90+,237,3215,,
24/01/2021,30-39,10352,11299,,
24/01/2021,70-79,2038,25352,,
25/01/2021,20-29,16508,9245,,
25/01/2021,0-19,13100,1432,,
25/01/2021,50-59,9919,27936,,
25/01/2021,80-89,1017,12098,,
25/01/2021,30-39,13187,11961,,
25/01/2021,60-69,4049,30454,,
25/01/2021,70-79,2166,23397,,
25/01/2021,40-49,20474,19513,,
25/01/2021,90+,263,2766,,
26/01/2021,0-19,12859,1389,,
26/01/2021,20-29,16494,8286,,
26/01/2021,50-59,8764,24759,,
26/01/2021,80-89,952,10646,,
26/01/2021,90+,247,2388,,
26/01/2021,30-39,13919,10900,,
26/01/2021,70-79,2001,21022,,
26/01/2021,40-49,19529,17790,,
26/01/2021,60-69,3646,28500,,
27/01/2021,0-19,14275,1520,,
27/01/2021,20-29,15165,10378,,
27/01/2021,80-89,874,10251,,
27/01/2021,60-69,3372,28419,,
27/01/2021,40-49,19713,17133,,
27/01/2021,30-39,13418,10810,,
27/01/2021,90+,239,2428,,
27/01/2021,70-79,1772,20102,,
27/01/2021,50-59,8722,23311,,
28/01/2021,80-89,676,9134,,
28/01/2021,20-29,16172,9946,,
28/01/2021,0-19,12431,1613,,
28/01/2021,70-79,1570,18768,,
28/01/2021,90+,182,2056,,
28/01/2021,60-69,3097,27858,,
28/01/2021,30-39,19697,12631,,
28/01/2021,40-49,17561,20521,,
28/01/2021,50-59,7908,27406,,
29/01/2021,90+,44,661,,
29/01/2021,20-29,5880,4777,,
29/01/2021,80-89,261,3246,,
29/01/2021,0-19,5383,1459,,
29/01/2021,30-39,10322,7557,,
29/01/2021,60-69,1306,11414,,
29/01/2021,40-49,9109,13908,,
29/01/2021,70-79,543,7139,,
29/01/2021,50-59,3629,14308,,
30/01/2021,30-39,10209,5619,,
30/01/2021,90+,33,425,,
30/01/2021,40-49,9101,10450,,
30/01/2021,20-29,5057,3025,,
30/01/2021,80-89,173,1844,,
30/01/2021,0-19,4779,826,,
30/01/2021,60-69,1036,6662,,
30/01/2021,50-59,3362,9786,,
30/01/2021,70-79,466,3958,,
31/01/2021,80-89,696,3616,,
31/01/2021,30-39,20878,7292,,
31/01/2021,40-49,16833,12309,,
31/01/2021,70-79,1609,7205,,
31/01/2021,60-69,3075,10852,,
31/01/2021,90+,176,779,,
31/01/2021,50-59,7495,12004,,
31/01/2021,0-19,8608,905,,
31/01/2021,20-29,13610,4237,,
01/02/2021,30-39,23452,4885,,
01/02/2021,70-79,1766,3474,,
01/02/2021,60-69,3155,5223,,
01/02/2021,80-89,869,1709,,
01/02/2021,90+,237,396,,
01/02/2021,20-29,20123,2971,,
01/02/2021,0-19,8918,456,,
01/02/2021,40-49,15593,8230,,
01/02/2021,50-59,7904,7796,,
02/02/2021,30-39,19531,3830,,
02/02/2021,90+,252,310,,
02/02/2021,70-79,1733,2738,,
02/02/2021,50-59,6716,8676,,
